seqname	Status	Subclass (putative)	Domain	Domain architecture simplified
TraesCS1D03G0039500.1	degenerate NLR	UNDETERMINED	(LRR)	L
TraesCS1D03G0040200.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1D03G0040400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0041300.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0042800.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1D03G0047200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0053300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0054000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0054500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0054600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0054800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0054900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0056300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0056800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0061000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0073300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0073400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0081000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0081100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(Exo70)	CNLO
TraesCS1D03G0081200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1D03G0081700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0082500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0085200.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS1D03G0093900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0111500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0112000.1	NLR	CC-NLR	(HMA)(NBARC)(LRR)	ONL
TraesCS1D03G0128700.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1D03G0142000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0211600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0218100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0232600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0448900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0449300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0588900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0607300.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1D03G0607400.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS1D03G0625500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1D03G0642800.1	NLR	CC-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0734900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0735100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0770800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0807200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0819700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1D03G0821200.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS1D03G0830300.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0837300.1	CCX	CCX	(CC)	C
TraesCS1D03G0837400.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0837500.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0837500.2	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0837700.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0838200.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0844600.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1D03G0863800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1D03G0883500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0884400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1D03G0886500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(PKin)	CNLO
TraesCS1D03G0886700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0890400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0895400.1	NLR	CC-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1D03G0895500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0898400.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS1D03G0903000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0903100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0921100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0925800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0926400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0955500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0962300.1	degenerate NLR	UNDETERMINED	(LRR)	L
TraesCS1D03G0969200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PKin)(NBARC)(LRR)	ONL
TraesCS1D03G0979000.1	NLR	CC-NLR	(CC)(NBARC)(PLOOP)(NBARC)(LRR)	CNPNL
TraesCS1D03G0997200.1	MLKL	MLKL	(MLKL)(PKin)	MO
TraesCS1D03G0998700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0999400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G1018800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G1018900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1D03G1021400.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G1021900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G1023000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G1035400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G1046800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G1046900.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS2A03G0007100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0008500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2A03G0008900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0009400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0009400.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0009500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0010200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0010800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0011200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0011300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2A03G0011800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0018500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0018700.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0018900.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0019000.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0019100.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0034800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0035200.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0037500.1	CCX	CCX	(CC)	C
TraesCS2A03G0037900.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0038100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0038200.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0038400.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0038400.2	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0039800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0041200.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0041300.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0041800.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0042400.1	CCX	CCX	(CC)	C
TraesCS2A03G0042800.1	CCX	CCX	(CC)	C
TraesCS2A03G0043600.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0044400.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2A03G0048000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(HMA)	NLO
TraesCS2A03G0048100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0053000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0053100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0053100.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0053200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0053400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0057900.1	degenerate NLR	UNDETERMINED	(LRR)(LRR)	L
TraesCS2A03G0058100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0058600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0058700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0059300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0059300.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0059900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2A03G0061300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0061300.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2A03G0062000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2A03G0062300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0076700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0080500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0080600.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS2A03G0080700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0081100.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS2A03G0081500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0088400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0088700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0092300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0103700.1	CCX	CCX	(CC)	C
TraesCS2A03G0112400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0116800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)(LRR)	CPL
TraesCS2A03G0117900.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS2A03G0137200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0137400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0137400.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0171600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0181400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0189800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0229000.1	NLR	CC-NLR	(CC)(BED)(NBARC)(LRR)(LRR)	CONL
TraesCS2A03G0229200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(BED)(NBARC)(LRR)(LRR)	ONL
TraesCS2A03G0255000.1	degenerate NLR	CC-NLR	(CC)(PLOOP)(LRR)	CPL
TraesCS2A03G0265200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0373600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0383100.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS2A03G0410100.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0411000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0422000.1	TX	TX	(TIR)	T
TraesCS2A03G0637200.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G0881100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0881200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0881300.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0881300.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0881400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0882800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G0882900.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS2A03G0885700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G0929500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0930000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G0997200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1006500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1083800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1093100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G1093800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1094300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1094700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1094900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G1095600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2A03G1097000.1	NLR	CC-NLR	(CC)(BED)(NBARC)(LRR)(LRR)	CONL
TraesCS2A03G1098100.1	CCX	CCX	(CC)(BED)	CO
TraesCS2A03G1112800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G1117700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1124600.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS2A03G1124900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1156600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1172300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1191700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G1222600.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2A03G1254200.1	NLR	CC-NLR	(NBARC)	N
TraesCS2A03G1254600.1	CCX	CCX	(CC)	C
TraesCS2A03G1254800.1	CCX	CCX	(CC)	C
TraesCS2A03G1255700.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS2A03G1267000.1	CCX	CCX	(CC)	C
TraesCS2A03G1267000.2	CCX	CCX	(CC)	C
TraesCS2A03G1317000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G1317000.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2A03G1317900.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS2A03G1318100.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS2A03G1330800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G1331600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1335000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2A03G1335300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1342600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(PKin)	CNLO
TraesCS2A03G1342600.2	NLR	CC-NLR	(CC)(NBARC)(LRR)(PKin)	CNLO
TraesCS2A03G1343000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(PKin)	CNLO
TraesCS2A03G1343000.2	NLR	CC-NLR	(CC)(NBARC)(LRR)(PKin)	CNLO
TraesCS2A03G1350300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1350300.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1350300.3	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1352300.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS2A03G1352400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(OTHER)	NLO
TraesCS2A03G1352700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2A03G1352800.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS2A03G1353200.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS2A03G1353300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(CC)(NBARC)(LRR)	CNLCNL
TraesCS2A03G1367900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1368200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2A03G1368200.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1368400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2A03G1369000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS2B03G0003600.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS2B03G0005000.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS2B03G0007900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0010000.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS2B03G0011900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2B03G0012800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0013900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0014300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0014500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0015000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0015400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0028300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0047800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0050400.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0051100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0051300.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0051800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0052500.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0055700.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0056800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0058100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS2B03G0061300.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0061600.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2B03G0061900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS2B03G0062000.1	NLR	CC-NLR	(PKin)(CC)(NBARC)(LRR)	OCNL
TraesCS2B03G0070100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0070200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(HMA)(NBARC)(LRR)(PKin)	ONLO
TraesCS2B03G0070600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0072700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0079200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0079200.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0080700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0080800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0081300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0081500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0081600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0081900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0082000.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS2B03G0087100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0087200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0087300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0087300.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0087500.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS2B03G0088700.1	degenerate NLR	UNDETERMINED	(LRR)(LRR)	L
TraesCS2B03G0089100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0089700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0091700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0091900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0091900.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0091900.3	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0092100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0092300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0092400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0093900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0094000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS2B03G0095200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS2B03G0111900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0111900.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0117200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0117600.2	NLR	CC-NLR	(CC)(NBARC)(NBARC)	CNN
TraesCS2B03G0117800.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS2B03G0123600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0128700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2B03G0129600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS2B03G0140600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0152700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS2B03G0156400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(JAC)	CNLO
TraesCS2B03G0157100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0175700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0190700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS2B03G0192300.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS2B03G0192300.2	NLR	CC-NLR	(CC)(NBARC)	CN
