,0,1,2,3,4,5,6,7,8
427759,Chr2B,IWGSC_v2.1,gene,707563843,707568496,61,+,.,ID=TraesCS2B03G1269100;primconf=HC;previous_id=TraesCS2B02G504900;Name=TraesCS2B03G1269100;cds=CDS_OK;mapping=fullPerfectMatch
428097,Chr2B,IWGSC_v2.1,gene,712330530,712334826,48,+,.,ID=TraesCS2B03G1276100;primconf=HC;previous_id=TraesCS2B02G507000;Name=TraesCS2B03G1276100;cds=CDS_OK;mapping=fullPerfectMatch
428105,Chr2B,IWGSC_v2.1,gene,712406234,712410121,50,+,.,ID=TraesCS2B03G1276200;primconf=HC;previous_id=TraesCS2B02G507100;Name=TraesCS2B03G1276200;cds=CDS_OK;mapping=fullPerfectMatch
430585,Chr2B,IWGSC_v2.1,gene,727027163,727034053,53,-,.,ID=TraesCS2B03G1313600;primconf=HC;previous_id=TraesCS2B02G523900;Name=TraesCS2B03G1313600;cds=CDS_OK;mapping=fullPerfectMatch
432209,Chr2B,IWGSC_v2.1,gene,736040763,736047089,54,+,.,ID=TraesCS2B03G1332200;primconf=HC;previous_id=TraesCS2B02G532200;Name=TraesCS2B03G1332200;cds=CDS_OK;mapping=fullPerfectMatch
432912,Chr2B,IWGSC_v2.1,gene,740713979,740716242,47,+,.,ID=TraesCS2B03G1345100;primconf=HC;previous_id=TraesCS2B02G536900;Name=TraesCS2B03G1345100;cds=CDS_OK;mapping=fullPerfectMatch
435928,Chr2B,IWGSC_v2.1,gene,760717434,760721295,38,+,.,ID=TraesCS2B03G1399400;primconf=HC;previous_id=TraesCS2B02G557900;Name=TraesCS2B03G1399400;cds=CDS_OK;mapping=fullPerfectMatch
435955,Chr2B,IWGSC_v2.1,gene,760786514,760790556,49,+,.,ID=TraesCS2B03G1399900;primconf=HC;previous_id=TraesCS2B02G558100;Name=TraesCS2B03G1399900;cds=CDS_OK;mapping=fullPerfectMatch
436574,Chr2B,IWGSC_v2.1,gene,763208481,763215510,41,+,.,ID=TraesCS2B03G1409000;primconf=HC;previous_id=TraesCS2B02G562700;Name=TraesCS2B03G1409000;cds=CDS_OK;mapping=fullPerfectMatch
438057,Chr2B,IWGSC_v2.1,gene,772990543,772993093,53,-,.,ID=TraesCS2B03G1436600;primconf=HC;previous_id=TraesCS2B02G574400;Name=TraesCS2B03G1436600;cds=CDS_OK;mapping=fullPerfectMatch
439079,Chr2B,IWGSC_v2.1,gene,774165251,774169596,34,+,.,ID=TraesCS2B03G1439300;primconf=HC;previous_id=TraesCS2B02G575800;Name=TraesCS2B03G1439300;cds=CDS_OK;mapping=fullPerfectMatch
439711,Chr2B,IWGSC_v2.1,gene,776537585,776541583,42,+,.,ID=TraesCS2B03G1446500;primconf=HC;previous_id=TraesCS2B02G579400;Name=TraesCS2B03G1446500;cds=CDS_OK;mapping=fullPerfectMatch
439944,Chr2B,IWGSC_v2.1,gene,777971538,777973016,33,-,.,ID=TraesCS2B03G1451800;primconf=HC;previous_id=TraesCS2B02G581200;Name=TraesCS2B03G1451800;cds=CDS_OK;mapping=fullPerfectMatch
440771,Chr2B,IWGSC_v2.1,gene,783916260,783921090,55,-,.,ID=TraesCS2B03G1472300;primconf=HC;previous_id=TraesCS2B02G587400;Name=TraesCS2B03G1472300;cds=CDS_OK;mapping=fullPerfectMatch
440999,Chr2B,IWGSC_v2.1,gene,784535443,784539069,37,+,.,ID=TraesCS2B03G1474600;primconf=HC;previous_id=TraesCS2B02G588500;Name=TraesCS2B03G1474600;cds=CDS_OK;mapping=fullPerfectMatch
441800,Chr2B,IWGSC_v2.1,gene,787627892,787633866,.,-,.,ID=TraesCS2B03G1486000;Name=TraesCS2B03G1486000;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G593600
441806,Chr2B,IWGSC_v2.1,gene,787790635,787791381,30,+,.,ID=TraesCS2B03G1486400;primconf=HC;previous_id=TraesCS2B02G593700;Name=TraesCS2B03G1486400;cds=CDS_OK;mapping=fullPerfectMatch
441810,Chr2B,IWGSC_v2.1,gene,787816030,787816833,42,-,.,ID=TraesCS2B03G1486500;primconf=HC;previous_id=TraesCS2B02G593800;Name=TraesCS2B03G1486500;cds=CDS_OK;mapping=fullPerfectMatch
441815,Chr2B,IWGSC_v2.1,gene,788077242,788078165,.,+,.,ID=TraesCS2B03G1486800;Name=TraesCS2B03G1486800;mapping=GMAP_WHOLEGENOME;previous_id=TraesCSU02G205300
441819,Chr2B,IWGSC_v2.1,gene,788455207,788463826,49,+,.,ID=TraesCS2B03G1487100;primconf=HC;previous_id=TraesCS2B02G593900;Name=TraesCS2B03G1487100;cds=CDS_OK;mapping=fullPerfectMatch
442350,Chr2B,IWGSC_v2.1,gene,790726288,790735184,48,+,.,ID=TraesCS2B03G1495300;primconf=HC;previous_id=TraesCS2B02G597700;Name=TraesCS2B03G1495300;cds=CDS_OK;mapping=fullPerfectMatch
442722,Chr2B,IWGSC_v2.1,gene,792239280,792244055,37,-,.,ID=TraesCS2B03G1499700;primconf=HC;previous_id=TraesCS2B02G599700;Name=TraesCS2B03G1499700;cds=CDS_OK;mapping=fullPerfectMatch
443107,Chr2B,IWGSC_v2.1,gene,794685097,794687940,34,+,.,ID=TraesCS2B03G1506200;primconf=HC;previous_id=TraesCS2B02G602300;Name=TraesCS2B03G1506200;cds=CDS_OK;mapping=fullPerfectMatch
443115,Chr2B,IWGSC_v2.1,gene,794708532,794712266,50,+,.,ID=TraesCS2B03G1506300;primconf=HC;previous_id=TraesCS2B02G602400;Name=TraesCS2B03G1506300;cds=CDS_OK;mapping=fullPerfectMatch
443865,Chr2B,IWGSC_v2.1,gene,798095741,798100937,41,+,.,ID=TraesCS2B03G1519900;primconf=HC;previous_id=TraesCS2B02G607500;Name=TraesCS2B03G1519900;cds=CDS_OK;mapping=fullPerfectMatch
443870,Chr2B,IWGSC_v2.1,gene,798106908,798110945,37,+,.,ID=TraesCS2B03G1520000;primconf=HC;previous_id=TraesCS2B02G607600;Name=TraesCS2B03G1520000;cds=CDS_OK;mapping=fullPerfectMatch
443874,Chr2B,IWGSC_v2.1,gene,798172858,798180895,51,+,.,ID=TraesCS2B03G1520300;primconf=HC;previous_id=TraesCS2B02G607700;Name=TraesCS2B03G1520300;cds=CDS_OK;mapping=fullPerfectMatch
443983,Chr2B,IWGSC_v2.1,gene,798913580,798921253,48,+,.,ID=TraesCS2B03G1523100;primconf=HC;previous_id=TraesCS2B02G608500;Name=TraesCS2B03G1523100;cds=CDS_OK;mapping=fullPerfectMatch
444011,Chr2B,IWGSC_v2.1,gene,799235002,799250288,32,-,.,ID=TraesCS2B03G1524200;primconf=HC;previous_id=TraesCS2B02G608800;Name=TraesCS2B03G1524200;cds=CDS_OK;mapping=fullPerfectMatch
445162,Chr2B,IWGSC_v2.1,gene,805293678,805312129,.,+,.,ID=TraesCS2B03G1546600;Name=TraesCS2B03G1546600;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G629400
445170,Chr2B,IWGSC_v2.1,gene,805312649,805323214,35,+,.,ID=TraesCS2B03G1546700;primconf=HC;previous_id=TraesCS2B02G629500;Name=TraesCS2B03G1546700;cds=CDS_OK;mapping=fullPerfectMatch
445201,Chr2B,IWGSC_v2.1,gene,805651798,805662204,.,+,.,ID=TraesCS2B03G1548000;Name=TraesCS2B03G1548000;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G629800
445303,Chr2B,IWGSC_v2.1,gene,806940611,806945201,46,+,.,ID=TraesCS2B03G1551300;primconf=HC;previous_id=TraesCS2B02G626900;Name=TraesCS2B03G1551300;cds=CDS_OK;mapping=fullPerfectMatch
445398,Chr2B,IWGSC_v2.1,gene,807370119,807372976,37,+,.,ID=TraesCS2B03G1552900;primconf=HC;previous_id=TraesCS2B02G625900;Name=TraesCS2B03G1552900;cds=CDS_OK;mapping=fullPerfectMatch
445408,Chr2B,IWGSC_v2.1,gene,807378141,807405408,.,+,.,ID=TraesCS2B03G1553000;Name=TraesCS2B03G1553000;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G625800
445437,Chr2B,IWGSC_v2.1,gene,807568522,807573501,.,+,.,ID=TraesCS2B03G1554200;Name=TraesCS2B03G1554200;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G625500
445446,Chr2B,IWGSC_v2.1,gene,807604092,807609373,42,+,.,ID=TraesCS2B03G1554500;primconf=HC;previous_id=TraesCS2B02G625400;Name=TraesCS2B03G1554500;cds=CDS_OK;mapping=fullPerfectMatch
446304,Chr2B,IWGSC_v2.1,gene,811587648,811597440,.,+,.,ID=TraesCS2B03G1571100;Name=TraesCS2B03G1571100;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2B02G619300
446316,Chr2B,IWGSC_v2.1,gene,811612301,811617587,55,+,.,ID=TraesCS2B03G1571200;primconf=HC;previous_id=TraesCS2B02G619200;Name=TraesCS2B03G1571200;cds=CDS_OK;mapping=fullPerfectMatch
446326,Chr2B,IWGSC_v2.1,gene,811657199,811659178,31,+,.,ID=TraesCS2B03G1571300;primconf=HC;previous_id=TraesCS2B02G619100;Name=TraesCS2B03G1571300;cds=CDS_OK;mapping=fullPerfectMatch
446345,Chr2B,IWGSC_v2.1,gene,811691275,811694766,40,-,.,ID=TraesCS2B03G1571800;primconf=HC;previous_id=TraesCS2B02G618800;Name=TraesCS2B03G1571800;cds=CDS_OK;mapping=fullPerfectMatch
446361,Chr2B,IWGSC_v2.1,gene,811720667,811725533,43,+,.,ID=TraesCS2B03G1572100;primconf=HC;previous_id=TraesCS2B02G618700;Name=TraesCS2B03G1572100;cds=CDS_OK;mapping=fullPerfectMatch
446412,Chr2B,IWGSC_v2.1,gene,811797174,811802349,46,-,.,ID=TraesCS2B03G1572800;primconf=HC;previous_id=TraesCS2B02G618300;Name=TraesCS2B03G1572800;cds=CDS_OK;mapping=fullPerfectMatch
447081,Chr2D,IWGSC_v2.1,gene,1727399,1735511,.,+,.,ID=TraesCS2D03G0002700;Name=TraesCS2D03G0002700;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G001800
447144,Chr2D,IWGSC_v2.1,gene,2112411,2114551,33,+,.,ID=TraesCS2D03G0004400;previous_id=TraesCS2D02G002400;primconf=HC;Name=TraesCS2D03G0004400;cds=CDS_OK;mapping=fullMatchWithMissmatches
447204,Chr2D,IWGSC_v2.1,gene,2377158,2383178,53,+,.,ID=TraesCS2D03G0006300;previous_id=TraesCS2D02G003200;primconf=HC;Name=TraesCS2D03G0006300;cds=CDS_OK;mapping=fullPerfectMatch
447240,Chr2D,IWGSC_v2.1,gene,2476849,2478615,41,+,.,ID=TraesCS2D03G0007000;previous_id=TraesCS2D02G003600;primconf=HC;Name=TraesCS2D03G0007000;cds=CDS_OK;mapping=fullPerfectMatch
447386,Chr2D,IWGSC_v2.1,gene,2648905,2654771,43,-,.,ID=TraesCS2D03G0008100;previous_id=TraesCS2D02G004500;primconf=HC;Name=TraesCS2D03G0008100;cds=CDS_OK;mapping=fullPerfectMatch
447394,Chr2D,IWGSC_v2.1,gene,2658256,2661803,34,+,.,ID=TraesCS2D03G0008200;previous_id=TraesCS2D02G004600;primconf=HC;Name=TraesCS2D03G0008200;cds=CDS_OK;mapping=fullPerfectMatch
447425,Chr2D,IWGSC_v2.1,gene,2786355,2790275,36,-,.,ID=TraesCS2D03G0008800;previous_id=TraesCS2D02G004900;primconf=HC;Name=TraesCS2D03G0008800;cds=CDS_OK;mapping=fullMatchWithMissmatches
448030,Chr2D,IWGSC_v2.1,gene,5395959,5397491,46,-,.,ID=TraesCS2D03G0018200;previous_id=TraesCS2D02G009900;primconf=HC;Name=TraesCS2D03G0018200;cds=CDS_OK;mapping=fullPerfectMatch
448053,Chr2D,IWGSC_v2.1,gene,5409881,5411556,44,-,.,ID=TraesCS2D03G0018400;previous_id=TraesCS2D02G010100;primconf=HC;Name=TraesCS2D03G0018400;cds=CDS_OK;mapping=fullPerfectMatch
448982,Chr2D,IWGSC_v2.1,gene,8158483,8162726,54,+,.,ID=TraesCS2D03G0030700;previous_id=TraesCS2D02G016400;primconf=HC;Name=TraesCS2D03G0030700;cds=CDS_OK;mapping=fullPerfectMatch
449186,Chr2D,IWGSC_v2.1,gene,8659658,8660806,42,-,.,ID=TraesCS2D03G0033600;previous_id=TraesCS2D02G017700;primconf=HC;Name=TraesCS2D03G0033600;cds=CDS_OK;mapping=fullPerfectMatch
449315,Chr2D,IWGSC_v2.1,gene,8843539,8845264,33,+,.,ID=TraesCS2D03G0034400;previous_id=TraesCS2D02G018100;primconf=HC;Name=TraesCS2D03G0034400;cds=CDS_OK;mapping=fullPerfectMatch
449333,Chr2D,IWGSC_v2.1,gene,8854271,8855941,40,+,.,ID=TraesCS2D03G0034800;previous_id=TraesCS2D02G018300;primconf=HC;Name=TraesCS2D03G0034800;cds=CDS_OK;mapping=fullPerfectMatch
449419,Chr2D,IWGSC_v2.1,gene,9539575,9541245,51,+,.,ID=TraesCS2D03G0038300;previous_id=TraesCS2D02G019400;primconf=HC;Name=TraesCS2D03G0038300;cds=CDS_OK;mapping=fullPerfectMatch
449425,Chr2D,IWGSC_v2.1,gene,9548546,9550006,30,+,.,ID=TraesCS2D03G0038400;previous_id=TraesCS2D02G019500;primconf=HC;Name=TraesCS2D03G0038400;cds=CDS_OK;mapping=fullPerfectMatch
449489,Chr2D,IWGSC_v2.1,gene,9754263,9755835,33,+,.,ID=TraesCS2D03G0039200;previous_id=TraesCS2D02G019900;primconf=HC;Name=TraesCS2D03G0039200;cds=CDS_OK;mapping=fullPerfectMatch
449495,Chr2D,IWGSC_v2.1,gene,9770715,9772196,40,+,.,ID=TraesCS2D03G0039300;previous_id=TraesCS2D02G020000;primconf=HC;Name=TraesCS2D03G0039300;cds=CDS_OK;mapping=fullPerfectMatch
449567,Chr2D,IWGSC_v2.1,gene,9808522,9810012,41,+,.,ID=TraesCS2D03G0039700;previous_id=TraesCS2D02G020300;primconf=HC;Name=TraesCS2D03G0039700;cds=CDS_OK;mapping=fullPerfectMatch
449579,Chr2D,IWGSC_v2.1,gene,9914901,9916447,50,-,.,ID=TraesCS2D03G0040300;previous_id=TraesCS2D02G020600;primconf=HC;Name=TraesCS2D03G0040300;cds=CDS_OK;mapping=fullPerfectMatch
449648,Chr2D,IWGSC_v2.1,gene,10232327,10234011,51,+,.,ID=TraesCS2D03G0043400;previous_id=TraesCS2D02G021900;primconf=HC;Name=TraesCS2D03G0043400;cds=CDS_OK;mapping=fullPerfectMatch
449675,Chr2D,IWGSC_v2.1,gene,10336379,10339396,44,-,.,ID=TraesCS2D03G0044200;previous_id=TraesCS2D02G022300;primconf=HC;Name=TraesCS2D03G0044200;cds=CDS_OK;mapping=fullPerfectMatch
449923,Chr2D,IWGSC_v2.1,gene,11072394,11076083,.,-,.,ID=TraesCS2D03G0047700;Name=TraesCS2D03G0047700;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G024500
449936,Chr2D,IWGSC_v2.1,gene,11108672,11113493,48,+,.,ID=TraesCS2D03G0047800;previous_id=TraesCS2D02G024600;primconf=HC;Name=TraesCS2D03G0047800;cds=CDS_OK;mapping=fullPerfectMatch
450106,Chr2D,IWGSC_v2.1,gene,11301100,11307221,45,-,.,ID=TraesCS2D03G0049500;previous_id=TraesCS2D02G025700;primconf=HC;Name=TraesCS2D03G0049500;cds=CDS_OK;mapping=fullPerfectMatch
450168,Chr2D,IWGSC_v2.1,gene,11376749,11387964,37,-,.,ID=TraesCS2D03G0050300;previous_id=TraesCS2D02G026200;primconf=HC;Name=TraesCS2D03G0050300;cds=CDS_OK;mapping=fullPerfectMatch
450420,Chr2D,IWGSC_v2.1,gene,11782626,11788084,34,-,.,ID=TraesCS2D03G0054100;previous_id=TraesCS2D02G028100;primconf=HC;Name=TraesCS2D03G0054100;cds=CDS_OK;mapping=fullMatchWithMissmatches
450469,Chr2D,IWGSC_v2.1,gene,11808456,11813622,.,-,.,ID=TraesCS2D03G0054400;Name=TraesCS2D03G0054400;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G028300
450477,Chr2D,IWGSC_v2.1,gene,11841173,11847676,32,-,.,ID=TraesCS2D03G0054700;previous_id=TraesCS2D02G028400;primconf=HC;Name=TraesCS2D03G0054700;cds=CDS_OK;mapping=fullPerfectMatch
452986,Chr2D,IWGSC_v2.1,gene,15101826,15103476,35,-,.,ID=TraesCS2D03G0075200;previous_id=TraesCS2D02G041400;primconf=HC;Name=TraesCS2D03G0075200;cds=CDS_OK;mapping=fullPerfectMatch
452992,Chr2D,IWGSC_v2.1,gene,15103597,15105722,40,-,.,ID=TraesCS2D03G0075300;previous_id=TraesCS2D02G041500;primconf=HC;Name=TraesCS2D03G0075300;cds=CDS_OK;mapping=fullPerfectMatch
453000,Chr2D,IWGSC_v2.1,gene,15134888,15148295,.,+,.,ID=TraesCS2D03G0075400;Name=TraesCS2D03G0075400;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G041600
453033,Chr2D,IWGSC_v2.1,gene,15156370,15157958,42,+,.,ID=TraesCS2D03G0075700;previous_id=TraesCS2D02G041800;primconf=HC;Name=TraesCS2D03G0075700;cds=CDS_OK;mapping=fullPerfectMatch
453055,Chr2D,IWGSC_v2.1,gene,15233028,15237718,49,-,.,ID=TraesCS2D03G0076300;previous_id=TraesCS2D02G042100;primconf=HC;Name=TraesCS2D03G0076300;cds=CDS_OK;mapping=fullPerfectMatch
453078,Chr2D,IWGSC_v2.1,gene,15318697,15322667,53,+,.,ID=TraesCS2D03G0076400;previous_id=TraesCS2D02G042200;primconf=HC;Name=TraesCS2D03G0076400;cds=CDS_OK;mapping=fullPerfectMatch
453405,Chr2D,IWGSC_v2.1,gene,16721196,16722365,23,+,.,ID=TraesCS2D03G0082100;previous_id=TraesCS2D02G044800;primconf=HC;Name=TraesCS2D03G0082100;cds=CDS_OK;mapping=fullPerfectMatch
453409,Chr2D,IWGSC_v2.1,gene,16730880,16734980,.,+,.,ID=TraesCS2D03G0082600;Name=TraesCS2D03G0082600;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G044900
453437,Chr2D,IWGSC_v2.1,gene,16870512,16871210,49,-,.,ID=TraesCS2D03G0083200;previous_id=TraesCS2D02G045500;primconf=HC;Name=TraesCS2D03G0083200;cds=CDS_OK;mapping=fullPerfectMatch
453658,Chr2D,IWGSC_v2.1,gene,18249535,18251673,46,-,.,ID=TraesCS2D03G0088700;previous_id=TraesCS2D02G048600;primconf=HC;Name=TraesCS2D03G0088700;cds=CDS_OK;mapping=fullPerfectMatch
453932,Chr2D,IWGSC_v2.1,gene,20387477,20388951,34,+,.,ID=TraesCS2D03G0098000;previous_id=TraesCS2D02G051700;primconf=HC;Name=TraesCS2D03G0098000;cds=CDS_OK;mapping=fullPerfectMatch
454698,Chr2D,IWGSC_v2.1,gene,24500734,24507467,.,+,.,ID=TraesCS2D03G0111300;Name=TraesCS2D03G0111300;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G057600
455947,Chr2D,IWGSC_v2.1,gene,29559344,29563928,46,-,.,ID=TraesCS2D03G0126900;previous_id=TraesCS2D02G064200;primconf=HC;Name=TraesCS2D03G0126900;cds=CDS_OK;mapping=fullPerfectMatch
456583,Chr2D,IWGSC_v2.1,gene,31140463,31147823,.,+,.,ID=TraesCS2D03G0136400;Name=TraesCS2D03G0136400;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G069600
456644,Chr2D,IWGSC_v2.1,gene,31463489,31474431,35,+,.,ID=TraesCS2D03G0137000;previous_id=TraesCS2D02G070100;primconf=HC;Name=TraesCS2D03G0137000;cds=CDS_OK;mapping=fullMatchWithMissmatches
459166,Chr2D,IWGSC_v2.1,gene,38893177,38897280,56,+,.,ID=TraesCS2D03G0168500;previous_id=TraesCS2D02G084600;primconf=HC;Name=TraesCS2D03G0168500;cds=CDS_OK;mapping=fullPerfectMatch
459174,Chr2D,IWGSC_v2.1,gene,38902096,38907100,55,-,.,ID=TraesCS2D03G0168800;previous_id=TraesCS2D02G084700;primconf=HC;Name=TraesCS2D03G0168800;cds=CDS_OK;mapping=fullPerfectMatch
460404,Chr2D,IWGSC_v2.1,gene,48955887,48964795,.,-,.,ID=TraesCS2D03G0197600;Name=TraesCS2D03G0197600;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G094500
463058,Chr2D,IWGSC_v2.1,gene,64497468,64504249,48,-,.,ID=TraesCS2D03G0235300;previous_id=TraesCS2D02G111500;primconf=HC;Name=TraesCS2D03G0235300;cds=CDS_OK;mapping=fullPerfectMatch
468939,Chr2D,IWGSC_v2.1,gene,88871051,88872571,41,-,.,ID=TraesCS2D03G0303800;previous_id=TraesCS2D02G144600;primconf=HC;Name=TraesCS2D03G0303800;cds=CDS_OK;mapping=fullPerfectMatch
475376,Chr2D,IWGSC_v2.1,gene,133760112,133763065,49,+,.,ID=TraesCS2D03G0393000;previous_id=TraesCS2D02G188300;primconf=HC;Name=TraesCS2D03G0393000;cds=CDS_OK;mapping=fullPerfectMatch
477790,Chr2D,IWGSC_v2.1,gene,157845489,157852062,53,-,.,ID=TraesCS2D03G0425600;previous_id=TraesCS2D02G203100;primconf=HC;Name=TraesCS2D03G0425600;cds=CDS_OK;mapping=fullPerfectMatch
478116,Chr2D,IWGSC_v2.1,gene,159520685,159526061,54,+,.,ID=TraesCS2D03G0429300;previous_id=TraesCS2D02G205500;primconf=HC;Name=TraesCS2D03G0429300;cds=CDS_OK;mapping=fullPerfectMatch
492131,Chr2D,IWGSC_v2.1,gene,326174068,326175690,50,+,.,ID=TraesCS2D03G0610800;previous_id=TraesCS2D02G264700;primconf=HC;Name=TraesCS2D03G0610800;cds=CDS_OK;mapping=fullPerfectMatch
502676,Chr2D,IWGSC_v2.1,gene,401603230,401610293,56,-,.,ID=TraesCS2D03G0716100;previous_id=TraesCS2D02G310900;primconf=HC;Name=TraesCS2D03G0716100;cds=CDS_OK;mapping=fullPerfectMatch
502688,Chr2D,IWGSC_v2.1,gene,401683783,401698304,.,+,.,ID=TraesCS2D03G0716200;Name=TraesCS2D03G0716200;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G311000
510899,Chr2D,IWGSC_v2.1,gene,463835968,463839685,51,-,.,ID=TraesCS2D03G0824400;previous_id=TraesCS2D02G359800;primconf=HC;Name=TraesCS2D03G0824400;cds=CDS_OK;mapping=fullPerfectMatch
514385,Chr2D,IWGSC_v2.1,gene,487051666,487056076,53,+,.,ID=TraesCS2D03G0868400;previous_id=TraesCS2D02G380400;primconf=HC;Name=TraesCS2D03G0868400;cds=CDS_OK;mapping=fullPerfectMatch
514392,Chr2D,IWGSC_v2.1,gene,487057332,487061734,63,+,.,ID=TraesCS2D03G0868500;previous_id=TraesCS2D02G380500;primconf=HC;Name=TraesCS2D03G0868500;cds=CDS_OK;mapping=fullPerfectMatch
514402,Chr2D,IWGSC_v2.1,gene,487085066,487087197,52,+,.,ID=TraesCS2D03G0868600;previous_id=TraesCS2D02G380600;primconf=HC;Name=TraesCS2D03G0868600;cds=CDS_OK;mapping=fullPerfectMatch
514415,Chr2D,IWGSC_v2.1,gene,487112299,487115628,37,+,.,ID=TraesCS2D03G0868900;previous_id=TraesCS2D02G380800;primconf=HC;Name=TraesCS2D03G0868900;cds=CDS_OK;mapping=fullPerfectMatch
520900,Chr2D,IWGSC_v2.1,gene,530206865,530210195,52,+,.,ID=TraesCS2D03G0933100;previous_id=TraesCS2D02G413600;primconf=HC;Name=TraesCS2D03G0933100;cds=CDS_OK;mapping=fullPerfectMatch
520936,Chr2D,IWGSC_v2.1,gene,530451822,530453780,37,+,.,ID=TraesCS2D03G0933600;previous_id=TraesCS2D02G414100;primconf=HC;Name=TraesCS2D03G0933600;cds=CDS_OK;mapping=fullPerfectMatch
521501,Chr2D,IWGSC_v2.1,gene,534261847,534266301,51,-,.,ID=TraesCS2D03G0942200;previous_id=TraesCS2D02G418000;primconf=HC;Name=TraesCS2D03G0942200;cds=CDS_OK;mapping=fullPerfectMatch
529872,Chr2D,IWGSC_v2.1,gene,574169342,574177800,48,+,.,ID=TraesCS2D03G1039000;previous_id=TraesCS2D02G465300;primconf=HC;Name=TraesCS2D03G1039000;cds=CDS_OK;mapping=fullPerfectMatch
529892,Chr2D,IWGSC_v2.1,gene,574184157,574189536,48,+,.,ID=TraesCS2D03G1039100;previous_id=TraesCS2D02G465400;primconf=HC;Name=TraesCS2D03G1039100;cds=CDS_OK;mapping=fullPerfectMatch
529901,Chr2D,IWGSC_v2.1,gene,574417463,574422616,45,+,.,ID=TraesCS2D03G1039400;previous_id=TraesCS2D02G465500;primconf=HC;Name=TraesCS2D03G1039400;cds=CDS_OK;mapping=fullPerfectMatch
529912,Chr2D,IWGSC_v2.1,gene,574502101,574507517,47,+,.,ID=TraesCS2D03G1039600;previous_id=TraesCS2D02G465600;primconf=HC;Name=TraesCS2D03G1039600;cds=CDS_OK;mapping=fullPerfectMatch
530005,Chr2D,IWGSC_v2.1,gene,574849384,574855964,47,+,.,ID=TraesCS2D03G1040400;previous_id=TraesCS2D02G466000;primconf=HC;Name=TraesCS2D03G1040400;cds=CDS_OK;mapping=fullPerfectMatch
530043,Chr2D,IWGSC_v2.1,gene,575003298,575009228,39,+,.,ID=TraesCS2D03G1041200;previous_id=TraesCS2D02G466400;primconf=HC;Name=TraesCS2D03G1041200;cds=CDS_OK;mapping=fullPerfectMatch
530062,Chr2D,IWGSC_v2.1,gene,575035698,575044808,46,+,.,ID=TraesCS2D03G1041600;previous_id=TraesCS2D02G466600;primconf=HC;Name=TraesCS2D03G1041600;cds=CDS_OK;mapping=fullPerfectMatch
530501,Chr2D,IWGSC_v2.1,gene,577351952,577377750,.,+,.,ID=TraesCS2D03G1049700;Name=TraesCS2D03G1049700;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS2D02G469500
530889,Chr2D,IWGSC_v2.1,gene,580100399,580105466,53,+,.,ID=TraesCS2D03G1059100;previous_id=TraesCS2D02G473500;primconf=HC;Name=TraesCS2D03G1059100;cds=CDS_OK;mapping=fullPerfectMatch
531890,Chr2D,IWGSC_v2.1,gene,583198804,583203362,59,+,.,ID=TraesCS2D03G1070500;previous_id=TraesCS2D02G479400;primconf=HC;Name=TraesCS2D03G1070500;cds=CDS_OK;mapping=fullPerfectMatch
531928,Chr2D,IWGSC_v2.1,gene,583251320,583265703,63,-,.,ID=TraesCS2D03G1070800;previous_id=TraesCS2D02G479700;primconf=HC;Name=TraesCS2D03G1070800;cds=CDS_OK;mapping=fullPerfectMatch
532170,Chr2D,IWGSC_v2.1,gene,587508403,587512211,51,+,.,ID=TraesCS2D03G1075900;previous_id=TraesCS2D02G481300;primconf=HC;Name=TraesCS2D03G1075900;cds=CDS_OK;mapping=fullPerfectMatch
533151,Chr2D,IWGSC_v2.1,gene,590565230,590572155,40,+,.,ID=TraesCS2D03G1090300;previous_id=TraesCS2D02G487900;primconf=HC;Name=TraesCS2D03G1090300;cds=CDS_OK;mapping=fullMatchWithMissmatches
534286,Chr2D,IWGSC_v2.1,gene,595566551,595570689,35,-,.,ID=TraesCS2D03G1107200;previous_id=TraesCS2D02G495900;primconf=HC;Name=TraesCS2D03G1107200;cds=CDS_OK;mapping=fullPerfectMatch
535654,Chr2D,IWGSC_v2.1,gene,601231649,601235949,45,-,.,ID=TraesCS2D03G1121600;previous_id=TraesCS2D02G503500;primconf=HC;Name=TraesCS2D03G1121600;cds=CDS_OK;mapping=fullPerfectMatch
