Gene ID,Clade,ipTM,pTM,AF confidence score,Amino acids,CC,NB,LRR,Additional,Lacked domains,ID,Remarks,,
TRAESCS1A03G0065500,CC,0.74,0.34,0.66,287,1-153,154-287,,,,,"Short NB, no LRR",,
TRAESCS1B03G0068700,CC,0.86,0.33,0.754,274,1-153,154-274,,,,,"Short NB, no LRR",,
TRAESCS1B03G0071200,CC,0.96,0.65,0.898,552,1-148,149-552,,,,,No LRR,,
TRAESCS1B03G0070900,CC,0.95,0.79,0.918,972,1-148,149-520,521-974,,,,,,
TRAESCS1D03G0054800,CC,0.96,0.82,0.932,955,1-147,148-516,517-955,,,,,,
TRAESCS1A03G0066200,CC,0.96,0.79,0.926,952,1-146,147-516,517-952,,,,,,
TRAESCS1A03G0065300,CC,0.94,0.76,0.904,954,1-146,147-519,520-956,,,,,,
TRAESCS1D03G0054000,CC,0.95,0.75,0.91,961,1-147,148-520,521-961,,,,,,
TRAESCS1A03G0065900,CC,0.96,0.77,0.922,957,1-147,148-519,520-959,,,,,,
TRAESCS1B03G0071400,CC,0.95,0.79,0.918,955,1-152,153-519,520-957,,,,,,
TRAESCS1A03G0060800,CC,0.92,0.49,0.834,329,1-155,156-329,,,,,"Short NB, no LRR",,
TRAESCS1A03G0061000,CC,0.95,0.8,0.92,958,1-146,147-518,519-958,,,,,,
TRAESCS1B03G0072200,CC,0.79,0.35,0.702,243,1-154,155-243,,,,,"Short NB, no LRR",,
TRAESCSU03G0343300,CC,0.81,0.36,0.72,234,1-153,154-234,,,,,"Short NB, no LRR",,
TRAESCS1B03G0072100,CC,0.81,0.37,0.722,234,1-151,152-234,,,,,"Short NB, no LRR",,
TRAESCSU03G0346400,CC,0.81,0.38,0.724,234,1-154,155-234,,,,,"Short NB, no LRR",,
TRAESCS1A03G0065000,CC,0.96,0.81,0.93,950,1-144,145-516,517-950,,,,,,
TRAESCS1B03G0070700,CC,0.93,0.5,0.844,323,1-154,155-323,,,,,"Short NB, no LRR",,
TRAESCS1D03G0054900,CC,0.95,0.79,0.918,953,1-148,149-519,520-953,,,,,,
TRAESCS1B03G0068600,CC,0.95,0.75,0.91,953,1-148,149-520,521-953,,,,,,
TRAESCS1D03G0053300,CC,0.95,0.78,0.916,958,1-146,147-519,520-958,,,,,,
TRAESCS1A03G0065600,CC,0.98,0.6,0.904,409,1-156,157-409,,,,,"Short NB, no LRR",,
TRAESCS7B03G1184500,CC,0.96,0.74,0.916,1043,1-148,149-505,506-924,925-1043,,,C-terminal extension (a loop),,
TRAESCS6B03G1300100,CC,0.94,0.63,0.878,1331,"1-165, 1012-1195","166-549, 1196-1331",550-936,,,,"2xCC, 2xNB",,
TRAESCS5B03G0961400,CC,0.96,0.78,0.924,841,1-158,159-521,522-841,,,,,,
TRAESCS5D03G0872200,CC,0.96,0.8,0.928,942,1-159,160-522,523-942,,,,,,
TRAESCS5A03G0911600,CC,0.96,0.78,0.924,942,1-165,166-523,524-942,,,,,,
TRAESCS7D03G0973700,CC,0.93,0.72,0.888,272,,1-272,,,,,"No CC, short NB, no LRR",,
TRAESCS7A03G1017800,CC,0.95,0.8,0.92,922,1-157,158-513,514-922,,,,,,
TRAESCS7B03G0859300,CC,0.95,0.56,0.872,355,1-160,161-355,,,,,"Short NB, no LRR",,
TRAESCS5A03G0219900,CC,0.96,0.78,0.924,814,1-153,154-514,515-814,,,,,,
TRAESCS5D03G0234300,CC,0.97,0.78,0.932,912,1-96,97-456,457-912,,,,Short CC,,
TRAESCS5D03G0234200,CC,0.96,0.76,0.92,950,1-151,152-514,515-950,,,,,,
TRAESCS5B03G0235300,CC,0.96,0.77,0.922,947,1-149,150-511,512-947,,,,,,
TRAESCS5B03G0236000,CC,0.96,0.76,0.92,942,1-146,147-510,511-942,,,,,,
TRAESCS5D03G0233700,CC,0.96,0.76,0.92,958,1-144,145-510,511-958,,,,,,
TRAESCS5A03G0221400,CC,0.98,0.61,0.906,422,1-145,146-422,,,,,"Short NB, no LRR",,
TRAESCS5B03G0078200,CC,0.96,0.76,0.92,937,1-146,147-510,511-937,,,,,,
TRAESCS3D03G1078400,CC,0.96,0.77,0.922,937,1-146,147-510,511-937,,,,,,
TRAESCS3B03G1346600,CC,0.96,0.74,0.916,967,1-171,172-540,541-967,,,,,,
TRAESCS5A03G0185800,CC,0.95,0.8,0.92,769,,1-368,369-769,,,,No CC,,
TRAESCS5D03G0209500,CC,0.96,0.65,0.898,561,1-151,152-561,,,,,No LRR,,
TRAESCS7D03G0261000,CC,0.96,0.78,0.924,991,1-142,143-521,522-991,,,,,,
TRAESCS7B03G0042200,CC,0.88,0.36,0.776,237,1-145,146-237,,,,,"Short NB, no LRR",,
TRAESCS1D03G0093900,CC,0.95,0.72,0.904,837,1-103,104-434,435-837,,,,Short CC,,
TRAESCS2D03G1090300,CC,0.96,0.71,0.91,994,1-145,146-506,507-994,,,,,,
TRAESCS2D03G1299100,CC,0.96,0.79,0.926,869,,1-381,382-869,,,,No CC,,
TRAESCS3B03G0093600,CC,0.84,0.41,0.754,239,1-146,147-239,,,,,"Short NB, no LRR",,
TRAESCS1D03G0955500,CC,0.89,0.41,0.794,255,1-146,147-255,,,,,"Short NB, no LRR",,
TRAESCS1B03G1180600,CC,0.97,0.74,0.924,633,1-147,148-509,510-633,,,,No LRR,,
TRAESCS1B03G1182200,CC,0.96,0.78,0.924,929,1-152,153-509,510-900,901-929,,,C-terminal extension (an α-helix),,
TRAESCS1B03G1180000,CC,0.91,0.45,0.818,310,1-147,148-310,,,,,"Short NB, no LRR",,
TRAESCS1B03G1180900,CC,0.96,0.79,0.926,944,1-149,150-509,510-913,914-944,,,C-terminal extension (an α-helix),,
TRAESCS1B03G1181900,CC,0.97,0.58,0.892,472,1-148,149-472,,,,,No LRR,,
TRAESCS1B03G1181300,CC,0.95,0.83,0.926,914,1-141,142-506,507-890,891-914,,,C-terminal extension (an α-helix),,
TRAESCS1B03G1182600,CC,0.95,0.81,0.922,918,1-144,145-509,510-894,895-918,,,C-terminal extension (an α-helix),,
TRAESCS1B03G1182500,CC,0.95,0.83,0.926,928,1-148,149-507,508-899,890-928,,,C-terminal extension (an α-helix),,
TRAESCS1A03G1001500,CC,0.71,0.41,0.65,214,1-150,151-214,,,,,"Short NB, no LRR",,
TRAESCS7B03G1283800,CC,0.97,0.72,0.92,561,1-145,146-561,,,,,No LRR,,
TRAESCS1B03G0589200,CC,0.83,0.4,0.744,270,1-143,144-270,,,,,"Short NB, no LRR",,
TRAESCS7B03G1286400,CC,0.97,0.53,0.882,500,1-156,157-500,,,,,No LRR,,
TRAESCS7A03G1347200,CC,0.97,0.55,0.886,500,1-145,146-500,,,,,No LRR,,
TRAESCS7D03G1274900,CC,0.96,0.56,0.88,500,1-143,144-500,,,,,No LRR,,
TRAESCS7B03G1283500,CC,0.97,0.57,0.89,480,1-148,149-480,,,,,No LRR,,
TRAESCS7D03G1274800,CC,0.96,0.76,0.92,988,1-149,150-509,510-988,,,,,,
TRAESCS7B03G1285300,CC,0.95,0.77,0.914,1004,1-141,142-505,506-923,924-1004,,,C-terminal extension,,
TRAESCS7B03G1284200,CC,0.87,0.47,0.79,199,1-75,76-199,,,,,"Short CC, short NB, no LRR",,
TRAESCS7A03G1347100,CC,0.96,0.79,0.926,869,1-88,89-452,453-869,,,,Short CC,,
TRAESCS6B03G1093900,CC,0.97,0.82,0.94,940,1-145,146-508,509-919,920-940,,,C-terminal extension (an α-helix),,
TRAESCS7B03G1285100,CC,0.97,0.59,0.894,372,1-146,147-372,,,,,"Short NB, no LRR",,
TRAESCS1B03G1001700,CC,0.95,0.62,0.884,911,1-149,150-493,494-892,893-911,,,C-terminal extension (an α-helix),,
TRAESCS5B03G1332800,CC,0.95,0.77,0.914,941,1-147,148-513,514-923,924-941,,,C-terminal extension (a loop),,
TRAESCS5D03G1195800,CC,0.92,0.74,0.884,944,1-149,150-514,515-919,920-944,,,C-terminal extension (a loop),,
TRAESCS5D03G1193200,CC,0.96,0.78,0.924,941,1-149,150-514,515-921,922-941,,,C-terminal extension (a loop),,
TRAESCS5B03G1333000,CC,0.94,0.55,0.862,348,1-152,153-348,,,,,"Short NB, no LRR",,
TRAESCS1D03G0047200,CC,0.92,0.5,0.836,228,1-97,98-228,,,,,"Short CC, short NB, no LRR",,
TRAESCS5D03G1219500,CC,0.96,0.8,0.928,943,1-148,149-516,517-919,920-943,,,C-terminal extension (an α-helix),,
TRAESCS5B03G1335300,CC,0.96,0.77,0.922,937,1-150,151-525,526-937,,,,,,
TRAESCS5D03G1196300,CC,0.95,0.63,0.886,986,1-168,169-534,535-972,973-986,,,C-terminal extension (a loop),,
TRAESCS5B03G1335800,CC,0.97,0.84,0.944,930,1-150,151-515,516-930,,,,,,
TRAESCS5D03G1195600,CC,0.96,0.77,0.922,948,1-151,152-515,516-927,928-950,,,C-terminal extension (an α-helix),,
TRAESCS5B03G1334300,CC,0.96,0.78,0.924,971,1-148,149-515,516-927,928-971,,,C-terminal extension (a loop),,
TRAESCS5B03G1368100,CC,0.95,0.76,0.912,929,1-148,149-514,515-929,,,,,,
TRAESCS4A03G0785900,CC,0.96,0.78,0.924,934,1-147,148-515,516-934,,,,,,
TRAESCS5D03G1226800,CC,0.96,0.8,0.928,949,1-149,150-516,517-925,926-949,,,C-terminal extension (an α-helix),,
TRAESCS4A03G0784900,CC,0.96,0.58,0.884,379,1-151,152-379,,,,,"Short NB, no LRR",,
TRAESCS5D03G1225900,CC,0.96,0.77,0.922,945,1-148,149-513,514-918,919-945,,,C-terminal extension (a loop),,
TRAESCS5B03G1335100,CC,0.95,0.8,0.92,940,1-150,151-514,515-940,,,,,,
TRAESCS5D03G1194800,CC,0.96,0.84,0.936,797,,1-335,336-797,,,,No CC,,
TRAESCS5B03G1332900,CC,0.96,0.8,0.928,941,1-149,150-515,516-917,918-941,,,C-terminal extension (an α-helix),,
TRAESCS4A03G0813800,CC,0.96,0.77,0.922,777,1-148,149-517,518-777,,,,Short LRR,,
TRAESCS5D03G1195700,CC,0.97,0.84,0.944,949,1-150,151-515,516-925,926-949,,,C-terminal extension (an α-helix),,
TRAESCS5B03G1332700,CC,0.96,0.83,0.934,945,1-149,150-515,516-923,924-947,,,C-terminal extension (a loop),,
TRAESCS5B03G1334700,CC,0.96,0.79,0.926,947,1-146,147-515,516-925,926-947,,,C-terminal extension (a loop),,
TRAESCS5D03G1191200,CC,0.96,0.81,0.93,935,1-149,150-515,516-935,,,,,,
TRAESCS6B03G1197200,CC,0.96,0.81,0.93,955,1-151,152-513,514-935,936-955,,,C-terminal extension (an α-helix),,
TRAESCS6B03G1198400,CC,0.96,0.83,0.934,932,1-150,151-515,516-932,,,,,,
TRAESCS6A03G0979000,CC,0.96,0.79,0.926,946,1-150,151-513,514-946,,,,,,
TRAESCS6D03G0858600,CC,0.96,0.73,0.914,1011,1-212,213-574,575-998,999-1011,,,"Long CC, C-terminal extension (a loop)",,
TRAESCS6D03G0858200,CC,0.96,0.79,0.926,952,1-150,151-511,512-935,936-952,,,C-terminal extension (an α-helix),,
TRAESCS6B03G1196600,CC,0.96,0.82,0.932,949,1-150,151-512,513-949,,,,,,
TRAESCS6D03G0858500,CC,0.97,0.67,0.91,371,1-105,106-371,,,,,"Short CC, short NB, no LRR",,
TRAESCS6D03G0858900,CC,0.88,0.43,0.79,278,1-149,150-278,,,,,"Short NB, no LRR",,
TRAESCS4A03G1161600,CC,0.65,0.48,0.616,1933,"1-182, 1203-1378","183-549, 1379-1933 ",550-957,958-1202,,,"2xCC, 2xNB, C-terminal extension (a long loop)",,
TRAESCS7A03G0057200,CC,0.63,0.49,0.602,2115,"1-189, 1013-1301","190-556, 1302-1658","557-1012, 1659-2075",2076-2115,,,"2xCC, 2xNB, 2xLRR, C-terminal extension (a loop)",,
TRAESCS7D03G0057000,CC,0.7,0.47,0.654,2072,"1-187, 1028-1256","188-541, 1257-1615","542-1027, 1616-2031",2032-2072,,,"2xCC, 2xNB, 2xLRR, C-terminal extension (a loop)",,
TRAESCS7D03G0449800,CC,0.89,0.47,0.806,280,1-159,160-280,,,,,"Short NB, no LRR",,
TRAESCS7B03G0274800,CC,0.96,0.75,0.918,933,1-152,153-515,516-933,,,,,,
TRAESCS1D03G0073400,CC,0.96,0.79,0.926,954,1-149,150-513,514-954,,,,,,
TRAESCS1D03G0073300,CC,0.97,0.8,0.936,963,1-167,168-528,529-963,,,,,,
TRAESCS1B03G0100000,CC,0.96,0.8,0.928,932,1-154,155-515,516-932,,,,,,
TRAESCS1B03G0099900,CC,0.96,0.78,0.924,926,1-153,154-514,515-926,,,,,,
TRAESCS1B03G0100400,CC,0.96,0.81,0.93,885,1-106,107-484 ,485-885,,,,Short CC,,
TRAESCS1A03G0083400,CC,0.95,0.79,0.918,926,1-148,149-514,515-926,,,,,,
TRAESCS7D03G1173600,CC,0.96,0.82,0.932,939,1-147,148-506,507-899,900-939,,,C-terminal extension (an α-helix),,
TRAESCS3A03G0114400,CC,0.96,0.77,0.922,930,1-120,121-512,513-930,,,,Short CC,,
TRAESCS3B03G0149400,CC,0.85,0.4,0.76,274,1-146,147-274,,,,,"Short NB, no LRR",,
TRAESCS5B03G0780900,CC,0.96,0.79,0.926,929,1-144,145-499,500-929,,,,,,
TRAESCS5D03G0708000,CC,0.96,0.74,0.916,972,1-149,150-499,500-926,927-972,,,C-terminal extension (an α-helix),,
TRAESCS3B03G0085800,CC,0.96,0.79,0.926,763,1-146,147-511,512-763,,,,Short LRR,,
TRAESCS3B03G0082600,CC,0.96,0.76,0.92,947,1-145,146-512,146-512,,,,,,
TRAESCS3D03G0059300,CC,0.96,0.76,0.92,943,1-150,151-513,514-943,,,,,,
TRAESCS3B03G1482600,CC,0.75,0.5,0.7,1424,542-675,676-992,993-1424,1-541,,,"N-terminal extension (kinase, Ig)",,
TRAESCS3B03G1509400,CC,0.9,0.34,0.788,622,324-480,481-622,,1-323,,,"Short NB, no LRR, N-terminal extension (kinase)",,
TRAESCS6B03G0010300,CC,0.8,0.55,0.75,1530,517-680,681-1038,1039-1478,"1-516, 1479-1530",,,"N-terminal extension (kinase, Ig), C-terminal extension (a loop)",,
TRAESCS2B03G0231700,CC,0.87,0.4,0.776,309,1-167,168-309,,,,,"Short NB, no LRR",,
TRAESCS4A03G1252600,CC,0.86,0.59,0.806,1417,464-617,618-978,979-1417,1-463,,,"N-terminal extension (kinase, Ig)",,
TRAESCS7B03G0947800,CC,0.85,0.54,0.788,1716,533-672,673-1035,1036-1485,"1-532, 1486-1716",,,"N-terminal extension (kinase, Ig), C-terminal extension",,
TRAESCS4A03G1210800,CC,0.83,0.57,0.778,1430,511-656,657-1016,1017-1430,1-510,,,"N-terminal extension (kinase, Ig)",,
TRAESCS7D03G0028800,CC,0.79,0.57,0.746,1432,513-655,656-1018,1019-1432,1-512,,,"N-terminal extension (kinase, Ig)",,
TRAESCS3B03G1433800,CC,0.87,0.42,0.78,294,1-145,146-294,,,,,"Short NB, no LRR",,
TRAESCS2A03G0881300,CC,0.88,0.42,0.788,330,1-145,146-330,,,,,"Short NB, no LRR",,
TRAESCS2A03G0882800,CC,0.79,0.4,0.712,295,1-145,146-295,,,,,"Short NB, no LRR",,
TRAESCS3D03G1134400,CC,0.96,0.84,0.936,735,,1-338,339-735,,,,No CC,,
TRAESCS3B03G1433700,CC,0.96,0.83,0.934,927,1-147,148-503,504-927,,,,,,
TRAESCS3D03G1133900,CC,0.97,0.57,0.89,439,1-149,150-439,,,,,"Short NB, no LRR",,
TRAESCS3D03G1134600,CC,0.96,0.78,0.924,899,1-143,144-503,504-899,,,,,,
TRAESCS3B03G1434000,CC,0.96,0.76,0.92,899,1-147,148-503,504-899,,,,,,
TRAESCS3A03G1189300,CC,0.96,0.83,0.934,899,1-147,148-503,504-899,,,,,,
TRAESCS2A03G0881200,CC,0.83,0.4,0.744,253,1-145,146-253,,,,,"Short NB, no LRR",,
TRAESCS6D03G0893100,CC,0.96,0.77,0.922,977,1-147,148-507,508-959,960-977,,,C-terminal extension (a loop),,
TRAESCS6D03G0893000,CC,0.85,0.43,0.766,285,1-146,147-285,,,,,"Short NB, no LRR",,
TRAESCS6B03G1249300,CC,0.97,0.71,0.918,561,1-143,144-561,,,,,No LRR,,
TRAESCS7B03G0345700,CC,0.98,0.62,0.908,418,1-149,150-418,,,,,"Short NB, no LRR",,
TRAESCS7A03G0526500,CC,0.95,0.76,0.912,920,1-143,144-501,502-920,,,,,,
TRAESCS7D03G0507000,CC,0.95,0.76,0.912,911,1-144,145-501,502-911,,,,,,
TRAESCS4D03G0812400,CC,0.89,0.45,0.802,270,1-144,145-270,,,,,"Short NB, no LRR",,
TRAESCS5A03G1229100,CC,0.96,0.76,0.92,907,1-143,144-498,499-907,,,,,,
TRAESCS6D03G0037700,CC,0.97,0.61,0.898,382,1-150,151-382,,,,,"Short NB, no LRR",,
TRAESCS6A03G0031100,CC,0.97,0.6,0.896,425,1-149,150-425,,,,,"Short NB, no LRR",,
TRAESCS6D03G0037600,CC,0.96,0.78,0.924,912,1-143,144-509,510-912,,,,,,
TRAESCS6B03G0048700,CC,0.88,0.75,0.854,891,1-143,144-498,499-891,,,,,,
TRAESCS2A03G1350300,CC,0.85,0.76,0.832,868,1-142,143-467,468-868,,,,,,
TRAESCS2B03G1551300,CC,0.93,0.84,0.912,740,,1-336,337-742,,,,No CC,,
TRAESCS2D03G1323600,CC,0.96,0.81,0.93,909,1-148,149-504,505-911,,,,,,
TRAESCS3B03G0322700,CC,0.96,0.8,0.928,955,1-141,142-502,503-913,914-955,,,C-terminal extension (a loop),,
TRAESCS5A03G0716000,CC,0.96,0.76,0.92,716,1-145,146-514,515-716,,,,Short LRR,,
TRAESCS5D03G0684100,CC,0.96,0.8,0.928,740,1-147,148-513,514-740,,,,,,
TRAESCS5B03G0754900,CC,0.78,0.68,0.76,880,1-151,152-438,439-860,861-880,,,C-terminal extension (an α-helix),,
TRAESCS6A03G0916000,CC,0.96,0.8,0.928,921,1-146,147-502,503-921,,,,,,
TRAESCS6B03G1100100,CC,0.97,0.58,0.892,459,1-146,147-459,,,,,No LRR,,
TRAESCS6D03G0786200,CC,0.96,0.69,0.906,639,1-148,149-506,507-639,,,,Short LRR,,
TRAESCS6B03G1100300,CC,0.87,0.42,0.78,270,1-152,153-270,,,,,"Short NB, no LRR",,
TRAESCS6B03G0362500,CC,0.96,0.8,0.928,873,1-106,107-466,467-873,,,,Short CC,,
TRAESCS6D03G0226300,CC,0.97,0.56,0.888,480,1-149,150-480,,,,,No LRR,,
TRAESCSU03G0388500,CC,0.87,0.39,0.774,264,1-143,144-264,,,,,"Short NB, no LRR",,
TRAESCS7A03G1303600,CC,0.63,0.33,0.57,269,1-143,144-269,,,,,"Short NB, no LRR",,
TRAESCS7B03G1224600,CC,0.96,0.79,0.926,902,1-143,144-497,498-902,,,,,,
TRAESCS7B03G1223200,CC,0.96,0.81,0.93,898,1-147,148-497,498-898,,,,,,
TRAESCS7B03G1225200,CC,0.96,0.78,0.924,899,1-138,139-496,497-899,,,,,,
TRAESCSU03G0245300,CC,0.96,0.8,0.928,914,1-141,142-497,498-914,,,,,,
TRAESCS6A03G0283700,CC,0.96,0.76,0.92,938,1-151,152-507,508-938,,,,,,
TRAESCS6D03G0238600,CC,0.95,0.77,0.914,911,1-157,158-506,507-911,,,,,,
TRAESCS6D03G0238200,CC,0.9,0.41,0.802,264,1-145,146-264,,,,,"Short NB, no LRR",,
TRAESCS6B03G0372100,CC,0.96,0.77,0.922,898,1-151,152-507,508-898,,,,,,
TRAESCS6A03G0283600,CC,0.96,0.76,0.92,842,1-153,154-506,507-842,,,,,,
TRAESCS6A03G0069300,CC,0.96,0.79,0.926,915,1-143,144-502,503-915,,,,,,
TRAESCS6D03G0070000,CC,0.97,0.6,0.896,406,1-148,149-406,,,,,"Short NB, no LRR",,
TRAESCS5B03G0709600,CC,0.87,0.42,0.78,271,1-143,144-271,,,,,"Short NB, no LRR",,
TRAESCS6A03G0283900,CC,0.96,0.68,0.904,488,1-143,144-488,,,,,No LRR,,
TRAESCS1D03G0998700,CC,0.96,0.7,0.908,617,1-147,148-521, 522-617,,,,Short LRR,,
TRAESCS1A03G1035700,CC,0.86,0.42,0.772,272,1-135,136-272,,,,,"Short NB, no LRR",,
TRAESCS1B03G1235400,CC,0.96,0.76,0.92,979,1-212,213-569,570-979,,,,Long CC (a loop),,
TRAESCS1D03G0999400,CC,0.95,0.7,0.9,967,1-145,146-502,503-967,,,,,,
TRAESCS1A03G1037100,CC,0.94,0.76,0.904,882,1-145,146-500,501-882,,,,,,
TRAESCS1A03G1036900,CC,0.74,0.56,0.704,671,1-98,99-422,423-671,,,,"Short CC, short LRR",,
TRAESCS4A03G1174700,CC,0.96,0.74,0.916,994,1-232,233-593,594-994,,,,Long CC,,
TRAESCS7A03G0047100,CC,0.98,0.74,0.932,326,1-72,73-326,,,,,"Short CC, short NB, no LRR",,
TRAESCS4A03G1169000,CC,0.86,0.58,0.804,1366,396-611,612-964,965-1366,1-395,,,N-terminal extension (kinase),,
TRAESCS7D03G0051300,CC,0.91,0.81,0.89,662,,1-332,333-662,,,,No CC,,
TRAESCS4A03G1175400,CC,0.95,0.75,0.91,995,1-236,237-590,591-995,,,,Long CC,,
TRAESCS4A03G1167700,CC,0.95,0.75,0.91,995,1-236,237-590,591-995,,,,Long CC,,
TRAESCS7D03G0049400,CC,0.86,0.54,0.796,633,320-515,516-633,,1-319,,,"Long CC, short NB, no LRR, N-teriminal extension (kinase)",,
TRAESCS4A03G1175100,CC,0.87,0.6,0.816,1264,356-516,517-870,871-1264,1-355,,,N-terminal extension (kinase),,
TRAESCS4A03G1170600,CC,0.79,0.46,0.724,721,355-516,517-721,,1-354,,,"Short NB, no LRR, N-terminal extension (kinase)",,
TRAESCS1D03G1021400,CC,0.98,0.59,0.902,443,1-150,151-443,,,,,No LRR,,
TRAESCS1B03G1257000,CC,0.96,0.78,0.924,905,1-147,148-505,506-905,,,,,,
TRAESCS1A03G1059400,CC,0.97,0.76,0.928,733,1-209,210-567,568-733,,,,"Long CC (a loop), short LRR",,
TRAESCS1A03G1059600,CC,0.96,0.84,0.936,904,1-150,151-505,506-904,,,,,,
TRAESCS1A03G1059900,CC,0.96,0.81,0.93,921,1-145,146-506,507-903,904-921,,,C-teminal extension (a loop),,
TRAESCS1A03G1061600,CC,0.98,0.67,0.918,529,1-151,152-531,,,,,No LRR,,
TRAESCS1A03G1059800,CC,0.9,0.46,0.812,284,1-148,149-284,,,,,"Short NB, no LRR",,
TRAESCS1B03G1257300,CC,0.97,0.84,0.944,918,1-157,158-506,507-906,907-918,,,C-teminal extension (a loop),,
TRAESCS1D03G1021900,CC,0.96,0.82,0.932,908,1-150,151-505,506-910,,,,,,
TRAESCS1A03G1060300,CC,0.96,0.84,0.936,912,1-145,146-506,507-910,,,,,,
TRAESCS1B03G1257400,CC,0.97,0.85,0.946,913,1-159,160-506,507-913,,,,,,
TRAESCS6B03G0143100,CC,0.96,0.72,0.912,827,1-50,51-425,426-747,748-827,,,"Short CC, C-terminal extension (an α-helix, a loop)",,
TRAESCS6A03G0101800,CC,0.89,0.43,0.798,293,1-155,156-293,,,,,"Short NB, no LRR",,
TRAESCS3B03G0073500,CC,0.97,0.68,0.912,586,1-153,154-519,520-586,,,,Short LRR,,
TRAESCS3D03G0052400,CC,0.95,0.68,0.896,1021,1-155,156-519,520-894,895-1021,,,C-terminal extension (WRKY),,
TRAESCS3A03G0064600,CC,0.97,0.78,0.932,902,1-155,156-519,520-902,,,,,,
TRAESCS3B03G0074200,CC,0.8,0.42,0.724,307,1-158,159-307,,,,,"Short NB, no LRR",,
TRAESCS7D03G1242000,CC,0.97,0.67,0.91,523,1-150,151-523,,,,,No LRR,,
TRAESCS7B03G1242100,CC,0.67,0.33,0.602,278,1-154,155-278,,,,,"Short NB, no LRR",,
TRAESCS7B03G1242500,CC,0.76,0.4,0.688,278,1-157,158-278,,,,,"Short NB, no LRR",,
TRAESCS1B03G0036500,CC,0.96,0.75,0.918,1072,1-172,173-565,566-1000,1001-1072,,,C-terminal extension (a long loop),,
TRAESCS2B03G0858600,CC,0.91,0.7,0.868,1021,1-183,184-556,557-996,997-1021,,,"Short CC, C-terminal extension (an α-helix)",,
TRAESCS2D03G0716200,CC,0.92,0.71,0.878,1023,1-181,182-558,559-998,999-1023,,,C-terminal extension (a loop),,
TRAESCS5A03G0945000,CC,0.95,0.72,0.904,932,1-139,140-494,495-915,916-932,,,C-terminal extension (a loop),,
TRAESCS5B03G0994300,CC,0.95,0.71,0.902,932,1-133,134-493,494-916,917-932,,,C-terminal extension (a loop),,
TRAESCS6B03G0049500,CC,0.94,0.71,0.894,1002,1-145,146-512,513-970,971-1002,,,C-terminal extension (a loop),,
TRAESCS6A03G0032000,CC,0.96,0.75,0.918,495,1-24,25-388,389-497,,,,"Short CC, short NB, short LRR",,
TRAESCS1D03G0112000,CC,0.95,0.69,0.898,914,1-60,61-493,494-849,850-914,,,"Short CC, C-terminal extension (a long loop)",,
TRAESCSU03G0288000,CC,0.94,0.74,0.9,1011,1-164,165-523,524-987,988-1011,,,"Twisted LRR, C-terminal extension (a loop)",,
TRAESCS4A03G1229000,CC,0.72,0.45,0.666,283,1-155,156-283,,,,,"Short NB, no LRR",,
TRAESCS7A03G0014900,CC,0.94,0.78,0.908,633,1-158,159-534,535-633,,,,Short LRR,,
TRAESCS4A03G1226900,CC,0.68,0.43,0.63,281,1-163,164-283,,,,,"Short NB, no LRR",,
TRAESCS4A03G1243000,CC,0.96,0.84,0.936,668,1-159,160-523,524-668,,,,No LRR,,
TRAESCS7D03G0122100,CC,0.83,0.45,0.754,232,1-118,119-232,,,,,"Short NB, no LRR",,
TRAESCS4A03G1227100,CC,0.96,0.8,0.928,1054,1-154,155-520,521-1054,,,,Twisted LRR,,
TRAESCS7D03G0017700,CC,0.95,0.74,0.908,1128,1-161,162-544,545-1068,1069-1128,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS7A03G0010200,CC,0.96,0.75,0.918,1099,1-161,162-529,530-1036,1037-1099,,,"Twisted LRR, C-terminal extension (a loop)",,
TRAESCS7A03G0013300,CC,0.75,0.61,0.722,1068,1-154,155-477,478-1012,1013-1068,,,"Twisted LRR, C-terminal extension (an α-helix)",,
TRAESCS4A03G1234000,CC,0.95,0.76,0.912,1111,1-162,163-528,529-1071,1072-1111,,,"Twisted LRR, C-terminal extension (a loop)",,
TRAESCS7A03G0012500,CC,0.86,0.42,0.772,330,1-161,162-330,,,,,"Short NB, no LRR",,
TRAESCS4A03G1240200,CC,0.95,0.78,0.916,1032,1-158,159-534,535-988,989-1032,,,"Twisted LRR, C-terminal extension (a loop)",,
TRAESCS7A03G0014700,CC,0.94,0.78,0.908,1000,1-191,192-547 ,548-969,970-1000,,,"Long CC, C-terminal extension (a loop)",,
TRAESCS7D03G0011900,CC,0.91,0.61,0.85,1367,1-228,229-550,551-1080,1081-1369,,,"Long CC, C-terminal extension (F-box/kelch-repeat)",,
TRAESCS4A03G1239300,CC,0.68,0.37,0.618,277,1-186,187-279,,,,,"Long CC, short NB, no LRR",,
TRAESCS7A03G0016500,CC,0.93,0.65,0.874,991,181-379,380-726,727-993,"1-180, 956-993",,,"Long CC, short LRR, N- & C-terminal extension (glutaredoxin & a loop)",,
TRAESCS4A03G1225600,CC,0.88,0.55,0.814,1518,155-372,373-727,728-1145,"1-154, 1146-1520",,,N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat),,
TRAESCS4A03G1228700,CC,0.9,0.57,0.834,1523,177-378,379-730,731-1150,"1-176, 1151-1525",,,"Long CC, N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat)",,
